tweet,target
مصر تنظم مؤتمر عالمي لدعم البيئة,1
برنامج الإصلاح الاقتصادي يؤتي ثماره,0
التكنولوجيا تعزز خدمات الحكومة الإلكترونية,1
الحكومة تنجح في خفض معدلات البطالة,1
زيادة الاستثمارات الأجنبية في مصر,1
مشروعات البنية التحتية تحقق نجاحاً كبيراً,1
تطوير التعليم الأساسي لمواكبة العصر,0
توسيع نطاق الرعاية الصحية في المناطق الريفية,1
استراتيجية جديدة لدعم الشركات الصغيرة والمتوسطة,1
الجهود المبذولة لتحسين جودة الحياة في المدن الجديدة,0
مصر تُطلق القمر الصناعي 'مصر سات 2' لتطبيقات الاستشعار عن بُعد من قاعدة تيوتشان في الصين,1
الرئيس السيسي يعلن أن التحديات الإقليمية كبدت مصر 7 مليارات دولار,1
القبض على حمو بيكا في القاهرة لحيازة سلاح وهروب من أحكام قضائية,1
مصر تُطلق جائزة عالمية للمبدعين من مكتبة الإسكندرية,1
البنك المركزي المصري يُبقي أسعار الفائدة دون تغيير للمرة السادسة على التوالي,1
عودة حركة الملاحة والصيد في كفر الشيخ بعد توقف 3 أيام بسبب سوء الأحوال الجوية,1
مصر تُنهي التجارب التشغيلية لتوسعة قناة السويس لزيادة حركة الملاحة,1
السلطات المصرية تُصعد من حملاتها على حرية الإعلام باعتقال صحفيين ورسامي كاريكاتير,1
إيرادات قناة السويس تتأثر بسبب الهجمات الحوثية في البحر الأحمر,1
الحكم بالسجن ستة أشهر على المدون المصري شادي أبو زيد بسبب فيديو ساخر,1
مصر تُعلن عن اكتشاف بوابة زمنية تؤدي إلى عصر الفراعنة,0
افتتاح أول مطعم تحت الماء في البحر الأحمر,0
مصر تُطلق برنامج لتعليم السحر في الجامعات,0
اكتشاف هرم جديد مصنوع بالكامل من الذهب,0
مصر تُعلن عن تطوير سيارة طائرة محلية الصنع,0
افتتاح حديقة ديناصورات حية في القاهرة,0
مصر تُطلق أول رحلة سياحية إلى المريخ,0
اكتشاف نفق سري تحت الأهرامات يؤدي إلى مدينة مفقودة,0
مصر تُعلن عن تطوير تقنية للتحكم في الطقس,0
افتتاح أول مدرسة لتعليم فنون القتال الفرعونية,0
"مصر تُطلق القمر الصناعي ""مصر سات 2"" لتطبيقات الاستشعار عن بُعد.",1
افتتاح مدينة العلمين الجديدة كواحدة من المدن الذكية بمصر.,1
قناة السويس تحقق أعلى إيرادات في تاريخها لعام 2023.,1
مصر تفوز بتنظيم مؤتمر الأمم المتحدة للمناخ (COP27).,1
افتتاح أكبر محطة للطاقة الشمسية في أسوان.,1
الرئيس السيسي يفتتح مشروع محور روض الفرج العملاق.,1
الإعلان عن استكشافات نفطية جديدة في البحر الأحمر.,1
بدء التشغيل الفعلي لأول محطة طاقة نووية في مصر.,1
مصر تُعلن عن إطلاق برنامج لدعم الشركات الصغيرة والمتوسطة.,1
الكشف عن اكتشافات أثرية جديدة في سقارة.,1
افتتاح المرحلة الرابعة من مترو أنفاق القاهرة.,1
تعزيز خدمات الحكومة الإلكترونية في مصر باستخدام الذكاء الاصطناعي.,1
مشروع تطوير بحيرة المنزلة ينتهي بنجاح.,1
الانتهاء من مشروع العاصمة الإدارية الجديدة.,1
